,Sex,Age,Smorking history,drinking history,Course,BMI,WHR,SBP,DBP,BUN,Scr,UA,TP,ALB,TBIL,DBIL,ALT,AST,FBG,HbA1c,UAER,HT,duration of HT
Sex,1.0,0.09259611724400074,-0.5386915691366121,-0.4294236027203778,0.02529470129748264,-0.08353074616115023,-0.04596585757277,-0.06236291955540143,-0.21029876389434818,-0.11995244001024119,-0.26855233126993405,-0.24657312714887897,0.1294948913986034,0.011740249371014328,-0.14286136155991438,0.02526159027822543,-0.06457179285997754,0.03001607400236195,0.002948180945019365,0.006830079651244352,-0.13729562016677527,-0.02642812836921857,0.03751841139239355
Age,0.09259611724400074,1.0,-0.09665274442780891,-0.08269063447096074,0.38731662516687093,-0.04387903901722508,-0.054989876256497205,0.045793664673800624,-0.21772056513869845,0.11100487891901652,0.01569796818490872,0.020356701402927276,0.026189179628128792,-0.029968283884870977,0.006259271940117799,-0.031941311634136854,-0.04592330902864085,0.037891253010600194,-0.043330665690912054,-0.029321415209892263,-0.15453947038723417,0.12675717644060155,0.23695844423456242
Smorking history,-0.5386915691366121,-0.09665274442780891,1.0,0.5805155632595979,-0.040842327224235586,0.08834047813543673,-0.025670267243113117,0.0023874991559886473,0.09126017076426475,0.12321194930976623,0.2182346423618457,0.19908543635882966,-0.1180810087522041,-0.06348964855120869,0.09634539936441941,-0.02563659969858323,0.019736354457667755,-0.034149681538570016,0.040564010223709306,-0.014847021637850405,0.11022649878333352,0.0008938706536356991,0.01185381171810129
drinking history,-0.4294236027203778,-0.08269063447096074,0.5805155632595979,1.0,-0.07108113487240661,0.018893591079935865,-0.01799613324663203,0.04642811355493321,0.09571767694311367,0.048969031883434835,0.12011760583689529,0.11393522916050848,-0.08442923693556913,0.009365577368415713,0.09293601121640041,-0.0028086046782676427,0.041504572816463435,-0.00832039131150664,0.07909561544363729,0.04689593254306443,0.06278105809640065,-0.04153634449516708,-0.008007374541128941
Course,0.02529470129748264,0.38731662516687093,-0.040842327224235586,-0.07108113487240661,1.0,0.04894813340354251,-0.08422581342207774,0.1128340286217095,-0.03924118473133389,0.03446037519419765,0.018122211771197362,0.030300118496695005,-0.00027381411021902595,-0.08351914248855913,0.06551765927581642,-0.023625787916653266,-0.08851088652424745,-0.04213578847623158,0.11401621765552909,0.1346907578309133,-0.012470751224484473,0.13998732036419717,0.19056053812367535
BMI,-0.08353074616115023,-0.04387903901722508,0.08834047813543673,0.018893591079935865,0.04894813340354251,1.0,-0.0014350443471994308,-0.020204240248518846,-0.021264697113712757,-0.02709777750357743,-0.0025631041471529986,0.0029443229304669982,-0.024864116123702387,0.03132975636206928,0.011028697120185602,0.025895471806964894,0.038997202019818,0.003481239195344745,-0.011046223714745325,0.031460271799380456,-0.01183879545087973,0.04814772683143072,0.0321840687666306
WHR,-0.04596585757277,-0.054989876256497205,-0.025670267243113117,-0.01799613324663203,-0.08422581342207774,-0.0014350443471994308,1.0,-0.10386023021843527,-0.0016302819241435823,-0.007482508814461979,-0.008240834204191862,-0.0004297664254853452,0.0021563038714577944,0.00482124660525189,-0.0034280411053702114,-0.002735254369893935,-0.00965643721189706,-0.005900211679978433,-0.00884918641386254,-0.04533354296896016,0.08207477558290045,-0.0566224027689897,-0.024473432163026006
SBP,-0.06236291955540143,0.045793664673800624,0.0023874991559886473,0.04642811355493321,0.1128340286217095,-0.020204240248518846,-0.10386023021843527,1.0,0.5408385035144175,0.08455634546307966,0.120120563520513,0.08595051965395145,-0.08853793231926742,-0.1430413195359836,0.012674921601261968,-0.038533780285538936,-0.0005192790207157933,0.002948338375801436,0.0131814756567489,0.09570337529636556,0.18368677695000055,0.34742163759708333,0.20625245516580848
DBP,-0.21029876389434818,-0.21772056513869845,0.09126017076426475,0.09571767694311367,-0.03924118473133389,-0.021264697113712757,-0.0016302819241435823,0.5408385035144175,1.0,0.08061589279314399,0.15346567930390898,0.15818014239959385,-0.07071041095363272,-0.08719611829469805,0.05783521443361494,-0.0010727973862295476,0.0039630653048233835,-0.027998258507952414,0.04031275944192019,0.06195752553685672,0.1936920012251285,0.19553122027690195,0.06540141530992007
BUN,-0.11995244001024119,0.11100487891901652,0.12321194930976623,0.048969031883434835,0.03446037519419765,-0.02709777750357743,-0.007482508814461979,0.08455634546307966,0.08061589279314399,1.0,0.7156551540528236,0.3714479935497783,-0.13971414902139626,-0.2410393879807683,-0.004658957084283804,-0.023517421286649895,-0.06440839211120652,-0.02214999496287426,0.07916760628689398,-0.061632431122347085,0.3368393994708761,0.16983932458380666,0.07615623319789187
